Mass Error,Number of proteins,Avg Runtime,Number of true positives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.007,20,0.36634479,5,4,5,6,5,3,0,8,5,4,3,6,5,5,4,5,6,3,6,5,4,5,8,6,0,5,6,2,4,7,5,3,9,3,8,5,8,7,4,5,8,5,4,3,4,7,5,6,5,2,6,5,6,1,2,6,6,2,6,5,5,6,6,4,5,7,4,7,7,6,4,5,4,8,7,7,7,9,2,4,8,5,6,7,3,4,7,0,6,4,6,4,3,6,6,4,6,8,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008,20,0.383708341,4,8,2,2,1,7,6,5,1,3,4,8,5,4,5,5,3,3,8,6,3,5,6,4,4,1,1,4,5,6,3,7,5,3,6,7,3,7,4,7,3,2,7,7,6,2,7,4,5,4,3,5,7,10,4,6,3,4,5,3,3,3,5,4,3,4,6,3,2,1,4,3,4,4,4,5,6,5,9,6,4,2,4,7,4,7,3,2,6,4,4,6,3,6,6,5,6,4,6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.009,20,0.36017982,3,4,2,5,6,4,3,4,3,4,1,2,7,3,1,5,2,2,6,3,6,4,5,2,3,5,3,6,6,7,7,5,4,5,2,3,6,5,5,5,3,6,5,5,3,4,3,4,1,3,4,4,2,3,3,5,6,3,3,3,8,5,4,3,4,3,4,2,3,5,2,3,6,3,1,4,2,6,7,5,9,6,3,6,4,4,6,4,11,6,0,6,5,2,3,5,4,4,6,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,20,0.328104396,1,3,2,5,4,4,4,3,4,4,4,2,4,1,3,3,7,4,2,5,2,4,4,5,4,4,4,4,1,3,4,2,4,6,3,3,2,3,4,4,8,8,2,6,5,2,5,4,4,4,2,7,4,4,6,2,2,4,1,3,6,5,4,2,3,4,4,3,2,4,2,4,6,4,3,6,4,4,7,5,1,5,5,5,3,2,5,2,4,1,2,4,5,0,3,4,7,3,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,30,0.625509319,24,26,21,26,24,25,28,24,25,23,26,26,26,24,22,23,24,25,27,26,28,24,27,25,27,26,25,26,26,25,25,23,27,28,19,27,23,27,25,25,25,28,27,26,29,20,30,24,24,25,23,26,24,25,25,24,23,28,25,26,25,25,24,25,26,25,24,23,22,25,25,26,26,24,26,27,29,25,21,25,23,26,25,28,21,29,24,26,25,24,25,24,25,23,24,30,24,27,28,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,30,0.767648792,17,18,18,18,19,19,21,16,17,16,23,16,22,15,20,19,21,20,16,15,19,23,17,16,15,13,21,20,20,19,17,16,21,15,17,24,21,19,16,19,19,20,24,19,19,18,18,22,17,20,16,22,19,17,19,15,20,18,16,19,22,20,19,19,21,19,19,20,19,21,20,19,16,19,20,21,24,16,22,18,12,16,16,21,15,10,14,14,12,23,16,14,18,18,17,16,22,18,22,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003,30,0.773790064,13,15,16,14,19,12,19,11,13,10,10,13,15,16,13,10,19,20,20,14,16,11,16,15,14,14,13,17,16,19,9,12,14,19,14,17,15,18,13,8,20,16,14,14,18,12,15,8,8,11,15,13,14,13,16,10,17,15,17,11,14,20,14,19,17,16,12,15,15,14,18,11,13,11,16,10,11,10,10,12,15,16,12,12,16,9,12,14,15,12,12,13,18,14,16,16,13,14,16,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004,30,0.652480526,11,10,13,11,11,15,10,12,10,12,15,15,9,8,9,14,9,12,6,11,13,9,16,11,9,9,13,15,11,9,13,11,10,9,9,14,14,11,14,10,10,12,14,8,10,16,11,9,11,13,14,10,14,12,14,16,8,12,9,13,11,15,11,19,9,11,12,9,15,12,15,10,8,10,16,13,14,13,14,8,15,15,11,11,15,11,13,11,11,8,12,8,10,12,11,9,12,13,11,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
